deck_label,slide_number,slide_id,title_text,object_count,text_object_count,picture_count,connector_count,table_count,text_char_count,paragraph_count,bullet_count,text_area_ratio,text_density_chars_per_1000pt2,occupied_area_ratio,object_density_per_million_pt2,focal_box_ratio,alignment_cue_ratio,min_font_pt,median_font_pt,max_font_pt,font_tier_count,title_font_pt,title_to_median_font_ratio,focus_hierarchy_proxy_percentile,load_headroom_proxy_percentile,relationship_encoding_declaration_count,reader_task,relationship_type,selected_grammar,reading_path_declared,visible_cue_count,manual_focus,manual_load,manual_relationship,manual_transition,manual_rhythm
prompt-engineering-whole-work.fresh-v15,12,S12,대화는 사람이 운영해 온같은 판단 루프다,17,9,1,0,0,108,10,10,0.191675,1.0869092648145733,0.5685949999999999,32.79320987654321,0.26023824584426947,0.5882352941176471,9.0,12.0,24.0,4,24.0,2.0,0.697,0.636,4,trace,same_conditions_different_operator,feedback loop,True,4,adequate,balanced,adequate,trace,transition
prompt-engineering-whole-work.fresh-v15,13,S13,"구조는 같고, 운영자·권한·중단 기준이 다르다",6,5,0,0,1,195,16,16,0.666605,0.5642883077795807,0.6666049999999999,11.574074074074074,0.52421,0.5,9.0,12.0,24.0,4,24.0,2.0,0.629,0.665,4,compare,same_loop_different_operator,editable comparison table,True,3,adequate,pressure,conditional,compare,comparison
prompt-engineering-whole-work.fresh-v15,14,S14,다섯 이름은 LLM에 줄 조건의서로 다른 위치다,29,16,1,0,0,222,17,17,0.240217,1.7827245396484874,0.5814919999999998,55.94135802469136,0.18607544564741907,0.75,9.0,12.5,24.0,7,24.0,1.92,0.652,0.199,4,trace,one_whole_many_locations,whole-work scene + location labels,True,3,adequate,balanced,adequate,trace,anchor
prompt-engineering-whole-work.fresh-v15,15,S15,“지난달 실적 보고서를 써줘”를 LLM의 전체 일로 완성한다,27,17,1,0,0,198,19,19,0.30957100000000004,1.2337862540239377,0.6519510000000001,52.083333333333336,0.17210903368328961,0.8333333333333334,9.0,12.5,24.0,6,24.0,1.92,0.712,0.324,4,trace,case_completion,report evidence scene + native case canvas,True,3,adequate,pressure,adequate,trace,explanation
prompt-engineering-whole-work.fresh-v15,16,S16,실패는 어느 단서와 판단에서 생겼는가,9,6,1,0,1,283,23,23,0.5071890000000001,1.076345295002771,0.595497,17.36111111111111,0.3513300000000001,0.6388888888888888,9.0,12.0,24.0,5,24.0,2.0,0.773,0.523,4,decide,failure_signal_cue_judgment_repair,diagnostic scene + native diagnostic ladder,True,3,adequate,pressure,conditional,decide,comparison
prompt-engineering-whole-work.fresh-v15,17,S17,실습 1 — 문장을 쓰기 전에전체 일의 루프를 설계한다,35,15,0,0,0,213,21,21,0.26457500000000006,1.5529797963890373,0.583695,67.51543209876543,0.069,0.7142857142857143,9.0,15.0,24.0,6,24.0,1.6,0.341,0.199,4,practice,cue_action_evidence_adjustment_loop,five-cell editable canvas,True,4,strong,pressure,strong,practice,practice
prompt-engineering-whole-work.fresh-v15,18,S18,실습 2 — 이름 대신문장을 작동시키는 조건을 복원한다,22,13,0,0,0,226,18,18,0.300731,1.449656969595608,0.5578350000000001,42.43827160493827,0.069,0.8863636363636364,9.0,14.0,24.0,7,24.0,1.7142857142857142,0.485,0.324,4,practice,failure_signal_to_llm_condition_restoration,four-cell editable restoration board,True,4,strong,balanced,strong,practice,practice
prompt-engineering-whole-work.fresh-v15,19,S19,프롬프트 엔지니어링은LLM에 줄 조건을 한 덩어리로 다룬다,17,14,0,0,0,204,15,7,0.395195,0.9957578373170675,0.594523,32.79320987654321,0.069,0.8235294117647058,9.0,17.0,24.0,5,24.0,1.411764705882353,0.386,0.557,4,compare,transfer_boundary,editable comparison table,True,3,strong,balanced,strong,compare,comparison
prompt-engineering-whole-work.fresh-v15,20,S20,"이름은 새로웠지만,LLM에 줄 조건은 하나였다",13,10,0,0,0,304,13,13,0.36954500000000007,1.5868696723982727,0.5186499999999998,25.07716049382716,0.08872500000000001,0.5576923076923077,9.0,17.0,24.0,4,24.0,1.411764705882353,0.25,0.494,4,explain,convergence,recap-action split,True,3,strong,low,adequate,explain,closure
prompt-engineering-whole-work.fresh-v15,21,S21,공식 문서는 Prompt와 Context를 구분하지 않습니까?,9,7,0,0,0,150,8,8,0.277965,1.040965056218775,0.38944,17.36111111111111,0.08872500000000001,0.5555555555555556,9.0,17.0,24.0,4,24.0,1.411764705882353,0.235,0.778,4,compare,assertion_evidence,claim-evidence split,True,3,strong,low,not_applicable,orient,pause
prompt-engineering-whole-work.fresh-v15,22,S22,그럼 모든 시스템 엔지니어링도 프롬프트 엔지니어링입니까?,6,5,0,0,1,195,12,12,0.666605,0.5642883077795807,0.6666049999999999,11.574074074074074,0.52421,0.5,9.0,12.0,24.0,4,24.0,2.0,0.629,0.761,4,decide,comparison,editable comparison table,True,3,adequate,pressure,conditional,decide,comparison
prompt-engineering-whole-work.fresh-v15,23,S23,한 번만 실행하는 작업에도 루프가 있습니까?,8,6,0,0,0,136,7,7,0.24576000000000003,1.0674873006687242,0.35723499999999997,15.432098765432098,0.08872500000000001,0.5625,9.0,17.0,24.0,4,24.0,1.411764705882353,0.265,0.801,4,explain,assertion_evidence,claim-evidence split,True,3,strong,low,not_applicable,explain,closure
copilot_ms365_v3_day1_instructor_vlc,1,S01,생성형 AI × 기획보고서 작성,23,13,0,0,0,204,13,13,0.4554,0.8641162022804534,0.5220649989063867,44.367283950617285,0.18,0.9239130434782609,12.0,12.0,52.0,4,52.0,4.333333333333333,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,2,S02,강사 운영 원칙 — 3개,17,13,0,0,0,238,13,13,0.4908119969378828,0.9353987700706291,0.6663029965004374,32.79320987654321,0.11336349792213475,0.5882352941176471,11.0,17.0,40.0,6,34.0,2.0,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,3,S03,강사 노트 — 교시 1 / 8,15,11,0,0,0,793,21,21,0.6923214977034121,2.2095324140559582,0.782795497047244,28.935185185185187,0.160875,0.8,9.0,11.5,24.0,6,24.0,2.0869565217391304,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,4,S04,교시 1 / 8,8,6,0,0,0,72,6,6,0.38949999999999996,0.356582513193553,0.4526649989063866,15.432098765432098,0.216,0.46875,11.0,16.5,48.0,5,18.0,1.0909090909090908,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,5,S05,팁 1 / 44,22,19,0,0,0,364,19,19,0.6121714977034121,1.146999650361616,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,6,S06,팁 2 / 44,22,19,0,0,0,386,19,19,0.6121714977034121,1.2163238050538017,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,7,S07,팁 3 / 44,22,19,0,0,0,382,19,19,0.6121714977034121,1.203719413291586,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,8,S08,팁 4 / 44,22,19,0,0,0,375,19,19,0.6121714977034121,1.1816617277077088,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,9,S09,팁 5 / 44,22,19,0,0,0,337,19,19,0.6121714977034121,1.061920005966661,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,10,S10,강사 노트 — 교시 2 / 8,15,11,0,0,0,704,20,20,0.6923214977034121,1.9615521052905356,0.782795497047244,28.935185185185187,0.160875,0.8,9.0,11.5,24.0,6,24.0,2.0869565217391304,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,11,S11,교시 2 / 8,8,6,0,0,0,73,6,6,0.38949999999999996,0.36153504809901904,0.4526649989063866,15.432098765432098,0.216,0.46875,11.0,16.5,48.0,5,18.0,1.0909090909090908,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,12,S12,팁 6 / 44,22,19,0,0,0,362,19,19,0.6121714977034121,1.1406974544805082,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,13,S13,팁 7 / 44,22,19,0,0,0,396,19,19,0.6121714977034121,1.2478347844593405,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,14,S14,팁 8 / 44,22,19,0,0,0,374,19,19,0.6121714977034121,1.1785106297671548,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,15,S15,팁 9 / 44,22,19,0,0,0,424,19,19,0.6121714977034121,1.3360655267948494,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,16,S16,팁 10 / 44,22,19,0,0,0,340,19,19,0.6121714977034121,1.0713732997883225,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,17,S17,강사 노트 — 교시 3 / 8,15,11,0,0,0,693,20,20,0.6923214977034121,1.930902853645371,0.782795497047244,28.935185185185187,0.160875,0.8,9.0,11.5,24.0,6,24.0,2.0869565217391304,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,18,S18,교시 3 / 8,8,6,0,0,0,79,6,6,0.38949999999999996,0.3912502575318151,0.4526649989063866,15.432098765432098,0.216,0.46875,11.0,16.5,48.0,5,18.0,1.0909090909090908,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,19,S19,팁 11 / 44,22,19,0,0,0,387,19,19,0.6121714977034121,1.2194749029943555,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,20,S20,팁 12 / 44,22,19,0,0,0,421,19,19,0.6121714977034121,1.3266122329731878,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,21,S21,팁 13 / 44,22,19,0,0,0,391,19,19,0.6121714977034121,1.232079294756571,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,22,S22,팁 14 / 44,22,19,0,0,0,359,19,19,0.6121714977034121,1.1312441606588466,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,23,S23,팁 15 / 44,22,19,0,0,0,342,19,19,0.6121714977034121,1.0776754956694303,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,24,S24,강사 노트 — 교시 4 / 8,15,11,0,0,0,654,20,20,0.6923214977034121,1.8222373250852417,0.782795497047244,28.935185185185187,0.160875,0.8,9.0,11.5,24.0,6,24.0,2.0869565217391304,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,25,S25,교시 4 / 8,8,6,0,0,0,77,6,6,0.38949999999999996,0.3813451877208831,0.4526649989063866,15.432098765432098,0.216,0.46875,11.0,16.5,48.0,5,18.0,1.0909090909090908,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,26,S26,팁 16 / 44,22,19,0,0,0,354,19,19,0.6121714977034121,1.1154886709560772,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,27,S27,팁 17 / 44,22,19,0,0,0,350,19,19,0.6121714977034121,1.1028842791938616,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,28,S28,팁 18 / 44,22,19,0,0,0,364,19,19,0.6121714977034121,1.146999650361616,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,29,S29,팁 19 / 44,22,19,0,0,0,333,19,19,0.6121714977034121,1.0493156142044453,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,30,S30,팁 20 / 44,22,19,0,0,0,347,19,19,0.6121714977034121,1.0934309853722,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,31,S31,강사 노트 — 교시 5 / 8,15,11,0,0,0,691,20,20,0.6923214977034121,1.925330262437159,0.782795497047244,28.935185185185187,0.160875,0.8,9.0,11.5,24.0,6,24.0,2.0869565217391304,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,32,S32,교시 5 / 8,9,7,0,0,0,127,7,7,0.4915,0.4984426610401517,0.5546649989063865,17.36111111111111,0.216,0.4722222222222222,11.0,18.0,48.0,5,18.0,1.0,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,33,S33,팁 21 / 44,22,19,0,0,0,377,19,19,0.6121714977034121,1.1879639235888166,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,34,S34,팁 22 / 44,22,19,0,0,0,324,19,19,0.6121714977034121,1.0209557327394603,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,35,S35,팁 23 / 44,22,19,0,0,0,378,19,19,0.6121714977034121,1.1911150215293704,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,36,S36,팁 24 / 44,22,19,0,0,0,368,19,19,0.6121714977034121,1.1596040421238316,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,37,S37,팁 25 / 44,22,19,0,0,0,344,19,19,0.6121714977034121,1.0839776915505381,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,38,S38,팁 26 / 44,22,19,0,0,0,368,19,19,0.6121714977034121,1.1596040421238316,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,39,S39,강사 노트 — 교시 6 / 8,15,11,0,0,0,660,20,20,0.6923214977034121,1.838955098709877,0.782795497047244,28.935185185185187,0.160875,0.8,9.0,11.5,24.0,6,24.0,2.0869565217391304,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,40,S40,교시 6 / 8,9,7,0,0,0,154,7,7,0.4915,0.6044107858282155,0.5546649989063865,17.36111111111111,0.216,0.4722222222222222,11.0,18.0,48.0,5,18.0,1.0,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,41,S41,팁 27 / 44,22,19,0,0,0,360,19,19,0.6121714977034121,1.1343952585994004,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,42,S42,팁 28 / 44,22,19,0,0,0,365,19,19,0.6121714977034121,1.1501507483021698,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,43,S43,팁 29 / 44,22,19,0,0,0,367,19,19,0.6121714977034121,1.1564529441832776,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,44,S44,팁 30 / 44,22,19,0,0,0,368,19,19,0.6121714977034121,1.1596040421238316,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,45,S45,팁 31 / 44,22,19,0,0,0,322,19,19,0.6121714977034121,1.0146535368583527,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,46,S46,팁 32 / 44,22,19,0,0,0,401,19,19,0.6121714977034121,1.26359027416211,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,47,S47,강사 노트 — 교시 7 / 8,15,11,0,0,0,657,20,20,0.6923214977034121,1.8305962118975594,0.782795497047244,28.935185185185187,0.160875,0.8,9.0,11.5,24.0,6,24.0,2.0869565217391304,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,48,S48,교시 7 / 8,8,6,0,0,0,88,6,6,0.38949999999999996,0.43582307168100926,0.4526649989063866,15.432098765432098,0.216,0.46875,11.0,16.5,48.0,5,18.0,1.0909090909090908,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,49,S49,팁 33 / 44,22,19,0,0,0,477,19,19,0.6121714977034121,1.5030737176442055,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,50,S50,팁 34 / 44,22,19,0,0,0,440,19,19,0.6121714977034121,1.3864830938437116,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,51,S51,팁 35 / 44,22,19,0,0,0,439,19,19,0.6121714977034121,1.3833319959031578,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,52,S52,팁 36 / 44,22,19,0,0,0,341,19,19,0.6121714977034121,1.0745243977288765,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,53,S53,팁 37 / 44,22,19,0,0,0,393,19,19,0.6121714977034121,1.2383814906376789,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,54,S54,팁 38 / 44,22,19,0,0,0,388,19,19,0.6121714977034121,1.2226260009349093,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,55,S55,강사 노트 — 교시 8 / 8,15,11,0,0,0,688,20,20,0.6923214977034121,1.9169713756248414,0.782795497047244,28.935185185185187,0.160875,0.8,9.0,11.5,24.0,6,24.0,2.0869565217391304,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,56,S56,교시 8 / 8,8,6,0,0,0,89,6,6,0.38949999999999996,0.44077560658647524,0.4526649989063866,15.432098765432098,0.216,0.46875,11.0,16.5,48.0,5,18.0,1.0909090909090908,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,57,S57,팁 39 / 44,22,19,0,0,0,418,19,19,0.6121714977034121,1.3171589391515262,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,58,S58,팁 40 / 44,22,19,0,0,0,406,19,19,0.6121714977034121,1.2793457638648793,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,59,S59,팁 41 / 44,22,19,0,0,0,383,19,19,0.6121714977034121,1.2068705112321398,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,60,S60,팁 42 / 44,22,19,0,0,0,410,19,19,0.6121714977034121,1.291950155627095,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,61,S61,팁 43 / 44,22,19,0,0,0,398,19,19,0.6121714977034121,1.2541369803404483,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
copilot_ms365_v3_day1_instructor_vlc,62,S62,팁 44 / 44,22,19,0,0,0,430,19,19,0.6121714977034121,1.3549721144381728,0.7546539971566053,42.43827160493827,0.11729999999999999,0.8181818181818182,10.5,10.5,24.0,5,24.0,2.2857142857142856,,,,,,,,,,,,,
